question,SI_GR,SI_GR_lo,SI_GR_hi,SI_Non-GR,SI_Non-GR_lo,SI_Non-GR_hi,delta_SI,delta_SI_lo,delta_SI_hi,p_value,p_adj
Q3.1,0.5062140362478501,0.4970752931552497,0.5156210259040892,0.5511796766743648,0.5331395801884341,0.5693090116868941,-0.04496564042651474,-0.06545552569526354,-0.024550993868207454,0.0,0.0
Q3.2,0.9435277786541313,0.9359998663480613,0.950603295219162,0.4777936318177728,0.45362123224116335,0.5121254726595225,0.4657341468363585,0.4282377694593767,0.49226222489553945,0.0,0.0
Q3.3,1.0,1.0,1.0,0.7661622365004249,0.7305100442656199,0.8090109302777109,0.23383776349957508,0.19098906972228916,0.2694899557343801,0.0,0.0
Q3.4,0.8384331925900367,0.8274793384039261,0.849325675761348,0.7309090213482287,0.7028921689450968,0.7662729299719095,0.10752417124180802,0.06632489066024844,0.14284170775978478,0.0,0.0
Q3.5,0.9985085072696934,0.9980889409947101,0.998866063479457,0.9824634708310891,0.9784715130834998,0.9862065977720808,0.016045036438604332,0.0121097819590805,0.020273334760034484,0.0,0.0
Q3.6,0.9934189395578105,0.9921001705761613,0.9946778744605098,0.7237728437495204,0.6739907991745471,0.7777781514500848,0.26964609580829,0.21612151101055893,0.3193118282545236,0.0,0.0
Q3.7,1.0,1.0,1.0,0.5747739510311897,0.5253945778841115,0.6396203749991186,0.42522604896881033,0.3603796250008812,0.4746054221158885,0.0,0.0
Q3.8,0.839654561247103,0.8240855342721508,0.8536224057514872,0.8145021351654205,0.7783711162444952,0.8576663555495008,0.025152426081682555,-0.02582294462668503,0.06981595097012665,0.336,0.336
Q4.1,0.9626569047462807,0.9584345844810291,0.9666287679670402,0.7935337516433113,0.7674967645871503,0.8252734441337269,0.16912315310296944,0.13833008450029932,0.19485436511355914,0.0,0.0
Q4.2,0.9714071627287129,0.9676822491685587,0.9750900483991074,0.7410577024034702,0.7089137871954001,0.7784406496465758,0.23034946032524262,0.19468791769493135,0.26078506689837155,0.0,0.0
Q4.3,0.9958955166412543,0.9944182590210736,0.9971604584949441,0.778593043744733,0.7428820295796013,0.8223077861794478,0.21730247289652127,0.17331646687996272,0.2535383850009028,0.0,0.0
Q5.1,0.999057386205398,0.9987750323386391,0.999295507525985,0.8503661999350799,0.8189249511640027,0.8846297510844937,0.14869118627031808,0.11438495862697394,0.1800043276180075,0.0,0.0
Q5.2,0.7550383674846108,0.7409406097175071,0.769425722499708,0.42481983083166286,0.40825587484560744,0.4491102498302032,0.330218536652948,0.30258474427487636,0.35121829118590464,0.0,0.0
Q5.3,0.9938481533629373,0.9921288678227376,0.9954768957925886,0.7018563040973228,0.6620892047509958,0.7474791060391573,0.2919918492656145,0.24589406403830136,0.33269573125838425,0.0,0.0
Q5.4,1.0,1.0,1.0,0.8244773436760949,0.7836285894680428,0.8704955067538505,0.17552265632390507,0.1295044932461496,0.21637141053195721,0.0,0.0
